AGED A/R REPORT SUMMARY,,,,,,Date:10/03/2024
CUST.#,NAME,A/R BALANCE,INV.AMT,PAYMENTS,DEB/CRED,FUTURES,CURRENT,1-30,31-60,61-90,OVER-90

150HW   ,HAWKINS AND SONS INC.,51946.66 ,64521.64 
151RZ   ,ROZMAN BROTHERS INC.,48334.74 ,32406.47 
152TA   ,TEATES APPLIANCE INC,55287.32 ,41171.31 
153PP   ,PERLA'S APPLIANCE PLUS,30014.14 ,48789.65 
154RP   ,RALPH'S APPLIANCE ,0.00 ,20868.32 
155AK   ,ALASKY'S APPLIANCE,18897.36 ,40732.69 
156HR   ,HERALDS APPL & ELEC,19686.47 ,30986.26 
157EC   ,ECKLEY TV & APPLIANCE ,43045.88 ,34991.11 
159MD   ,THE APPLIANCE CONNECTION,30017.04 ,12128.93 
15MN    ,MAINIERO'S INC,54871.95 ,42840.23 
160HV   ,HARTVILLE HARDWARE,55635.35 ,48139.79 
161ME   ,MILLERSBURG ELECTRIC,62327.54 ,35561.14 
162HP   ,HOME APPLIANCE SERVICE,26888.42 ,22049.48 
163FK   ,FLICKS TV AND APPLIANCE,8925.66 ,7662.19 
164BG   ,HOME APPL SLS AND SVC,10111.03 ,32094.95 
165MG   ,MAGNUS DISTRIBUTION,530.00 ,2946.26 
166FC   ,FOCUS CAMERA,51104.36 ,678.03 
167PT   ,PATTENS APPLIANCE CENTER,0.00 ,2278.05 
168BB   ,BLOOM BROTHERS SUPPLY,50464.34 ,84067.56 
169GM   ,GOLD APPLIANCES,10334.84 ,7100.67 
16JA    ,JACOBSON APPLIANCES INC.,43236.46 ,39850.88 
170EA   ,ELI APPLIANCE,83071.89 ,35267.54 
171DL   ,DANIELS,225753.13 ,32577.63 
172ER   ,EDWARDS KITCHEN APPL,23387.48 ,356.11-
